Apps,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,PoM,Off,Based,Tck R,CA,Gls/xG,Dist/Mins,Value
11.0,90.0,184.0,70.0,23,6.96,3.0,0.32,0.0,1.5,0.0,0.09,0.27,0.92,0.0,0.09,107.7,0.65,5.0,5.0,3.18,104.0,1.0,0.0,Croatia (Druga HNL),1.0,100,2.0,0.1087878787878788,17000.0
16.0,88.9375,175.0,69.0,26,6.87,1.0,0.43,1.0,0.58,0.43,0.19,0.89,0.89,0.18,0.13,184.1,0.66,0.0,29.0,0.89,34.0,0.0,0.0,Croatia (3. HNL Istok),0.79,89,1.7241379310344829,0.1293745607870695,14000.0
13.0,84.23076923076923,197.0,90.0,22,6.68,0.0,0.0,0.0,0.37,0.1,0.0,0.08,0.9,0.0,0.08,110.2,0.85,0.0,17.0,2.63,119.0,0.0,1.0,Croatia (Druga HNL),0.91,89,0.0,0.1006392694063927,104000.0
11.0,90.0,189.0,83.0,20,7.35,3.0,0.4,0.0,0.15,0.0,0.09,0.36,0.82,0.3,0.27,57.6,0.88,0.0,5.0,1.18,35.0,0.0,1.0,Croatia (Regionalne Lige - Sibenik),0.85,76,20.0,0.0581818181818181,66000.0
15.0,83.33333333333333,184.0,80.0,25,6.89,3.0,0.35,1.0,2.15,0.29,0.07,0.79,0.91,0.4,0.14,177.7,0.7,0.0,20.0,1.44,18.0,2.0,0.0,Croatia (3. HNL Jug),0.79,92,1.3953488372093024,0.1421599999999999,6500.0
15.0,80.4,180.0,73.0,23,6.61,0.0,0.47,0.0,1.3,0.32,0.22,1.12,0.9,0.25,0.15,185.5,0.41,0.0,6.0,0.97,20.0,0.0,0.0,Croatia (Prva HNL),0.78,93,0.0,0.1538142620232172,6000.0
11.0,88.36363636363636,169.0,64.0,27,6.91,1.0,0.25,0.0,0.81,0.12,0.19,2.22,0.86,0.21,0.65,142.8,0.37,0.0,15.0,1.2,8.0,0.0,2.0,Croatia (Druga HNL),0.75,82,1.2345679012345678,0.1469135802469136,5500.0
14.0,74.07142857142857,184.0,76.0,28,7.14,1.0,0.0,0.0,0.21,0.26,0.09,1.22,0.9,0.2,0.09,126.8,0.83,1.0,16.0,2.0,45.0,0.0,1.0,Croatia (3. HNL Zapad),0.84,93,4.761904761904762,0.1222757955641273,14000.0
13.0,81.61538461538461,182.0,77.0,23,6.83,0.0,0.5,0.0,0.0,1.82,0.08,1.44,0.87,0.25,3.05,146.2,0.85,1.0,21.0,2.54,39.0,0.0,6.0,Croatia (3. HNL Istok),0.8,86,0.0,0.1377945334590009,8000.0
14.0,88.85714285714286,177.0,74.0,27,6.69,2.0,0.63,0.0,0.7,0.16,0.07,0.65,0.94,0.12,0.0,165.6,0.57,3.0,35.0,0.51,28.0,0.0,0.0,Croatia (Prva HNL),0.61,95,2.857142857142857,0.1331189710610932,22500.0
15.0,88.73333333333333,179.0,69.0,19,7.15,0.0,0.38,0.0,0.0,1.27,0.0,0.14,0.72,1.0,0.0,7.4,1.0,0.0,16.0,0.14,2.0,1.0,0.0,Croatia (3. HNL Jug),0.56,79,0.0,0.0055597295266716,116000.0
12.0,84.5,193.0,86.0,27,6.54,0.0,0.4,0.0,0.58,0.0,0.0,0.44,0.88,0.0,0.09,109.8,0.89,0.0,7.0,2.22,121.0,0.0,1.0,Croatia (Druga HNL),0.86,92,0.0,0.108284023668639,13000.0
14.0,81.64285714285714,169.0,59.0,19,6.94,0.0,0.13,0.0,1.25,0.6,0.0,1.26,0.88,0.27,0.16,153.4,0.73,2.0,15.0,2.52,77.0,0.0,6.0,Croatia (3. HNL Jug),0.88,81,0.0,0.1342082239720035,14500.0
12.0,92.5,183.0,79.0,24,7.19,1.0,0.33,0.0,0.55,0.18,0.08,0.24,0.91,0.66,0.08,125.8,0.73,3.0,8.0,2.43,131.0,1.0,1.0,Croatia (Druga HNL),0.83,102,1.818181818181818,0.1133333333333333,26000.0
12.0,72.25,186.0,80.0,20,7.02,0.0,0.0,0.0,0.33,0.1,0.0,0.31,0.88,1.0,0.0,96.9,0.86,3.0,13.0,3.01,109.0,0.0,1.0,Croatia (3. HNL Jug),0.33,89,0.0,0.1117647058823529,33000.0
15.0,90.0,186.0,79.0,34,6.97,1.0,0.08,0.0,1.04,0.14,0.07,0.2,0.84,0.25,0.0,144.3,0.82,4.0,9.0,2.93,169.0,0.0,1.0,Croatia (3. HNL Jug),1.0,93,0.9615384615384616,0.1068888888888889,4500.0
14.0,90.0,179.0,72.0,25,7.06,0.0,0.2,0.0,0.09,0.0,0.29,0.0,0.77,0.0,0.07,26.2,0.6,0.0,7.0,0.21,3.0,0.0,0.0,Bosnia & Herzegovina (Liga 12),0.9,97,0.0,0.0207936507936507,55000.0
12.0,80.83333333333333,169.0,64.0,24,6.93,2.0,0.5,0.0,0.99,0.24,0.0,1.48,0.91,0.28,0.37,123.7,0.72,0.0,17.0,1.3,26.0,0.0,0.0,Croatia (Druga HNL),0.73,90,2.0202020202020203,0.1275257731958763,20000.0
11.0,72.9090909090909,185.0,78.0,25,7.08,1.0,0.2,1.0,1.03,0.75,0.34,1.12,0.88,0.2,0.22,115.2,0.79,0.0,9.0,1.35,18.0,1.0,0.0,Portugal (Liga 3 Sul),0.57,102,0.970873786407767,0.1436408977556109,180000.0
12.0,70.41666666666667,171.0,63.0,22,6.93,1.0,0.6,0.0,0.53,0.0,0.43,1.17,0.88,0.5,0.11,115.7,0.69,0.0,16.0,1.28,20.0,0.0,2.0,Slovenia (1. SNL),0.82,96,1.8867924528301885,0.1369230769230769,207500.0
16.0,90.0,183.0,79.0,22,6.78,0.0,0.0,0.0,0.16,0.14,0.0,0.38,0.87,0.5,0.0,147.5,0.88,3.0,19.0,2.44,167.0,0.0,0.0,Croatia (3. HNL Istok),0.82,90,0.0,0.1024305555555555,33000.0
16.0,79.5625,189.0,83.0,31,7.01,1.0,0.29,1.0,1.46,0.33,0.0,0.99,0.91,0.23,0.28,170.9,0.6,0.0,16.0,0.78,18.0,0.0,2.0,Croatia (3. HNL Istok),0.83,100,0.684931506849315,0.1342498036135113,42500.0
12.0,91.41666666666669,174.0,72.0,30,6.9,3.0,0.33,0.0,2.55,0.27,0.16,1.15,0.88,0.53,0.33,150.7,0.83,0.0,37.0,1.07,19.0,0.0,2.0,Croatia (Druga HNL),0.56,92,1.1764705882352942,0.1373746581586143,46000.0
14.0,92.57142857142856,178.0,75.0,27,7.03,0.0,0.0,0.0,0.86,0.0,0.07,0.0,0.78,0.0,0.14,30.9,0.57,0.0,12.0,0.28,43.0,0.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,83,0.0,0.0238425925925925,13000.0
14.0,92.57142857142856,178.0,75.0,27,7.03,0.0,0.0,0.0,0.86,0.0,0.07,0.0,0.78,0.0,0.14,30.9,0.57,0.0,12.0,0.28,43.0,0.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,83,0.0,0.0238425925925925,7750000.0
16.0,90.0,187.0,82.0,30,7.16,0.0,0.33,0.0,1.05,0.0,0.12,0.25,0.92,0.0,0.0,165.4,0.81,3.0,6.0,3.5,124.0,2.0,1.0,Portugal (Primeira Liga),0.93,133,0.0,0.1148611111111111,13000.0
16.0,90.0,187.0,82.0,30,7.16,0.0,0.33,0.0,1.05,0.0,0.12,0.25,0.92,0.0,0.0,165.4,0.81,3.0,6.0,3.5,124.0,2.0,1.0,Portugal (Primeira Liga),0.93,133,0.0,0.1148611111111111,7750000.0
11.0,90.0,192.0,78.0,31,6.96,0.0,0.0,0.0,0.3,0.61,0.0,0.18,0.88,1.0,0.18,112.0,0.84,3.0,11.0,2.73,123.0,1.0,1.0,Portugal (Liga 3 Norte),0.64,84,0.0,0.1131313131313131,14000.0
15.0,90.0,190.0,83.0,26,7.25,2.0,0.33,0.0,0.0,0.0,0.2,0.07,0.76,0.0,0.0,19.5,0.85,0.0,16.0,0.2,25.0,0.0,0.0,Bosnia & Herzegovina (Liga 12),0.92,101,0.0,0.0144444444444444,150500.0
15.0,92.0,176.0,78.0,21,7.37,0.0,0.25,0.0,0.06,0.12,0.2,0.13,0.79,0.33,0.13,42.7,0.84,0.0,21.0,0.52,20.0,0.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,91,0.0,0.0309420289855072,15500.0
15.0,92.0,189.0,74.0,27,7.51,0.0,0.14,0.0,0.0,0.0,0.2,0.2,0.8,0.33,0.26,39.3,0.77,1.0,21.0,0.65,17.0,1.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),0.91,84,0.0,0.0284782608695652,19500.0
13.0,92.3076923076923,183.0,75.0,28,7.28,0.0,0.0,0.0,0.24,0.32,0.3,0.23,0.82,0.5,0.15,35.1,0.91,0.0,16.0,0.23,5.0,1.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),0.96,86,0.0,0.02925,11000.0
17.0,93.52941176470588,190.0,81.0,22,7.48,2.0,1.0,0.0,0.26,0.0,0.11,0.0,0.83,0.0,0.0,35.3,0.88,0.0,10.0,0.68,41.0,2.0,0.0,Croatia (3. HNL Jug),0.93,86,7.692307692307692,0.0222012578616352,750.0
17.0,92.11764705882354,175.0,75.0,22,7.12,1.0,0.25,0.0,0.0,0.0,0.23,0.29,0.79,0.31,0.0,36.7,0.62,1.0,13.0,0.17,7.0,1.0,0.0,Croatia (3. HNL Jug),0.81,84,0.0,0.0234355044699872,12000.0
15.0,92.0,187.0,84.0,28,7.47,1.0,0.38,0.0,0.0,0.0,0.07,0.07,0.79,0.0,0.0,31.5,0.92,1.0,15.0,0.46,42.0,0.0,0.0,Portugal (Campeonato dos Açores - Ponta Delgada),1.0,88,0.0,0.0228260869565217,22500.0
11.0,90.0,200.0,96.0,22,6.8,0.0,0.0,0.0,0.07,0.0,0.0,0.36,0.93,0.0,0.0,105.7,0.82,2.0,3.0,2.82,126.0,0.0,1.0,Portugal (FPF Liga 3),0.88,87,0.0,0.1067676767676767,210000.0
16.0,90.0,185.0,82.0,26,7.49,1.0,0.29,0.0,0.69,0.0,0.19,0.0,0.76,0.0,0.0,20.9,0.92,0.0,12.0,0.38,25.0,0.0,0.0,Croatia (3. HNL Istok),0.97,90,1.4492753623188408,0.0145138888888888,5500.0
12.0,88.91666666666667,187.0,84.0,26,6.87,2.0,0.33,0.0,0.59,0.6,0.0,1.1,0.9,0.08,0.25,135.5,0.88,1.0,20.0,3.21,69.0,1.0,4.0,Croatia (Druga HNL),1.0,90,3.389830508474577,0.126991565135895,13000.0
12.0,87.58333333333333,191.0,89.0,24,7.17,0.0,0.0,0.0,0.04,0.0,0.09,0.77,0.87,0.45,0.26,138.2,0.89,1.0,15.0,2.48,88.0,0.0,2.0,Slovenia (1. SNL),0.88,96,0.0,0.1314938154138915,77500.0
14.0,92.14285714285714,181.0,79.0,27,7.39,1.0,0.11,0.0,0.0,0.75,0.21,0.14,0.75,0.0,0.0,13.3,0.72,1.0,27.0,0.21,21.0,1.0,0.0,Croatia (3. HNL Istok),0.9,81,0.0,0.0103100775193798,10500.0
14.0,90.0,188.0,77.0,22,7.34,2.0,0.14,0.0,0.06,0.0,0.0,0.0,0.73,0.0,0.0,8.4,0.78,0.0,22.0,0.07,9.0,1.0,1.0,Croatia (3. HNL Jug),1.0,80,33.333333333333336,0.0066666666666666,4500.0
16.0,92.6875,191.0,87.0,25,7.38,1.0,0.35,0.0,1.39,0.6,0.36,0.42,0.68,0.28,0.42,43.1,0.74,0.0,22.0,0.36,8.0,2.0,2.0,Croatia (3. HNL Jug),0.84,83,0.7194244604316548,0.0290627107215104,6000.0
15.0,92.0,182.0,80.0,28,6.92,1.0,0.29,0.0,0.0,0.0,0.2,0.0,0.75,0.0,0.0,15.5,0.91,0.0,20.0,0.0,3.0,0.0,1.0,Croatia (3. HNL Istok),0.95,80,0.0,0.011231884057971,2500.0
14.0,85.21428571428571,187.0,77.0,29,6.7,0.0,0.5,0.0,0.16,0.0,0.0,0.0,0.92,0.0,0.0,129.9,0.81,3.0,21.0,3.17,163.0,0.0,1.0,Croatia (Prva HNL),0.92,99,0.0,0.1088851634534786,35000.0
16.0,90.0,183.0,75.0,23,7.09,1.0,0.22,0.0,0.1,0.0,0.12,0.0,0.71,0.0,0.0,21.3,0.73,0.0,15.0,0.38,15.0,1.0,1.0,Croatia (3. HNL Istok),0.91,84,10.0,0.0147916666666666,2250.0
15.0,92.0,181.0,74.0,24,7.25,2.0,0.3,0.0,0.15,0.0,0.13,0.0,0.72,0.0,0.0,13.6,0.79,0.0,17.0,0.26,9.0,1.0,0.0,Croatia (3. HNL Istok),0.96,84,13.333333333333334,0.0098550724637681,4000.0
19.0,89.21052631578948,192.0,87.0,21,6.89,2.0,0.5,0.0,1.79,0.08,0.05,0.16,0.96,0.0,0.11,185.6,0.86,4.0,13.0,2.71,119.0,0.0,0.0,Croatia (Prva HNL),0.7,114,1.11731843575419,0.1094985250737463,605000.0
11.0,90.0,187.0,82.0,24,7.01,0.0,0.0,0.0,0.87,0.0,0.0,0.09,0.88,1.0,0.0,112.0,0.88,1.0,14.0,3.0,121.0,0.0,0.0,Portugal (Liga 3 Sul),0.75,91,0.0,0.1131313131313131,26000.0
11.0,90.0,186.0,75.0,23,6.78,0.0,0.0,0.0,0.29,0.1,0.09,0.18,0.92,0.0,0.0,118.7,0.79,1.0,10.0,2.73,121.0,1.0,1.0,Portugal (Liga 3 Norte),0.71,92,0.0,0.1198989898989899,99000.0
14.0,84.14285714285714,182.0,75.0,32,6.97,2.0,0.25,0.0,1.56,0.12,0.0,0.31,0.94,1.0,0.0,134.9,0.8,0.0,17.0,2.6,126.0,0.0,1.0,Italy (Lega Nazionale Dilettanti A),1.0,88,1.282051282051282,0.114516129032258,30000.0
14.0,87.28571428571429,174.0,67.0,22,6.68,2.0,0.6,0.0,0.63,0.3,0.07,1.47,0.88,0.22,1.91,171.2,0.72,0.0,43.0,2.5,48.0,1.0,10.0,Portugal (Campeonato Safina - Aveiro),0.96,78,3.1746031746031744,0.1400981996726677,26000.0
15.0,93.33333333333331,187.0,77.0,30,7.57,2.0,0.14,0.0,0.0,0.0,0.13,0.26,0.82,0.55,0.0,25.6,0.86,1.0,15.0,0.32,14.0,0.0,0.0,Croatia (3. HNL Istok),0.91,81,0.0,0.0182857142857142,1000.0
15.0,94.0,195.0,89.0,24,7.31,1.0,0.13,0.0,1.74,0.36,0.06,0.19,0.92,0.5,0.0,148.9,0.79,7.0,13.0,2.62,136.0,1.0,4.0,Croatia (3. HNL Zapad),1.0,102,0.5747126436781609,0.1056028368794326,5500.0
17.0,93.52941176470588,184.0,77.0,26,7.19,5.0,0.36,1.0,1.43,0.27,0.06,0.11,0.79,0.0,0.0,41.3,0.91,1.0,27.0,0.28,28.0,0.0,0.0,Croatia (3. HNL Jug),0.81,88,3.4965034965034967,0.0259748427672955,2750.0
13.0,90.0,184.0,73.0,25,6.92,0.0,0.14,0.0,0.84,0.0,0.0,0.31,0.9,0.0,0.0,127.0,0.81,5.0,4.0,3.46,157.0,0.0,2.0,Portugal (Liga Portugal 2),0.71,99,0.0,0.1085470085470085,19250.0
11.0,82.45454545454545,184.0,73.0,19,6.91,0.0,0.43,0.0,1.24,0.1,0.3,0.6,0.77,1.0,0.4,38.2,0.64,0.0,13.0,0.5,3.0,0.0,0.0,Austria (ADMIRAL 2. Liga),0.76,97,0.0,0.0421168687982359,1437500.0
11.0,90.0,176.0,65.0,24,7.12,1.0,0.46,0.0,1.63,0.72,0.09,1.27,0.89,0.16,0.18,120.2,0.7,3.0,13.0,2.09,57.0,1.0,1.0,Portugal (Liga 3 Norte),0.84,95,0.6134969325153374,0.1214141414141414,135000.0
12.0,88.33333333333333,175.0,78.0,24,6.87,1.0,0.11,0.0,1.3,0.09,0.17,0.68,0.94,0.0,0.0,141.6,0.67,1.0,6.0,1.27,26.0,1.0,0.0,Portugal (Liga Portugal 2),0.86,101,0.7692307692307692,0.1335849056603773,22000.0
11.0,90.0,187.0,75.0,26,6.77,0.0,0.0,0.0,0.25,0.1,0.0,0.91,0.88,0.14,0.36,124.3,0.81,0.0,21.0,3.0,56.0,0.0,0.0,Portugal (Liga 3 Norte),0.86,90,0.0,0.1255555555555555,37500.0
12.0,89.33333333333333,180.0,72.0,29,7.36,0.0,0.25,0.0,0.48,0.19,0.08,1.43,0.93,0.38,0.5,145.7,0.57,1.0,21.0,1.51,21.0,0.0,1.0,Portugal (Liga Portugal 2),0.73,93,0.0,0.1359141791044776,32500.0
11.0,86.18181818181819,177.0,69.0,28,6.64,1.0,0.13,0.0,1.75,0.21,0.09,0.95,0.91,0.18,0.47,126.8,0.76,1.0,14.0,2.75,66.0,1.0,6.0,Portugal (Liga 3 Norte),0.89,91,0.5714285714285714,0.1337552742616033,45000.0
13.0,90.0,189.0,77.0,27,6.85,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.94,0.0,0.08,137.7,0.76,1.0,11.0,1.54,108.0,0.0,0.0,Croatia (Druga HNL),0.9,100,0.0,0.1176923076923076,77500.0
14.0,80.0,192.0,78.0,26,6.56,0.0,0.08,0.0,1.51,0.11,0.0,0.32,0.94,0.0,0.16,147.7,0.84,0.0,22.0,1.45,56.0,0.0,1.0,Portugal (Liga Portugal 2),0.81,101,0.0,0.131875,60000.0
14.0,80.0,192.0,78.0,26,6.56,0.0,0.08,0.0,1.51,0.11,0.0,0.32,0.94,0.0,0.16,147.7,0.84,0.0,22.0,1.45,56.0,0.0,1.0,Portugal (Liga Portugal 2),0.81,101,0.0,0.131875,440000.0
13.0,90.6923076923077,192.0,79.0,27,7.91,2.0,0.29,0.0,0.4,0.0,0.08,0.23,0.75,0.0,0.0,13.3,0.22,1.0,12.0,0.08,3.0,1.0,0.0,Croatia (3. HNL Jug),0.91,89,5.0,0.0112807463952502,14500.0
16.0,90.0,180.0,69.0,20,6.99,1.0,0.1,0.0,2.88,0.25,0.12,0.81,0.9,0.18,0.56,185.4,0.7,0.0,23.0,3.25,106.0,1.0,5.0,Croatia (3. HNL Jug),0.83,87,0.3472222222222222,0.12875,9000.0
17.0,86.17647058823529,177.0,65.0,23,6.59,0.0,0.26,0.0,1.93,0.42,0.25,1.41,0.85,0.3,1.72,235.0,0.42,0.0,24.0,0.92,15.0,0.0,0.0,Croatia (Prva HNL),0.68,103,0.0,0.1604095563139931,132000.0
11.0,90.0,170.0,63.0,21,6.82,0.0,0.14,0.0,0.83,0.09,0.0,1.18,0.93,0.14,0.55,137.2,0.67,2.0,9.0,2.91,54.0,0.0,2.0,Portugal (FPF Liga 3),0.87,102,0.0,0.1385858585858585,605000.0
11.0,90.0,192.0,85.0,27,7.05,0.0,0.25,0.0,0.36,0.12,0.0,0.27,0.89,0.0,0.0,108.2,0.87,2.0,14.0,2.45,128.0,1.0,0.0,Portugal (Liga 3 Norte),0.86,95,0.0,0.1092929292929292,22000.0
16.0,88.75,182.0,73.0,31,7.0,0.0,0.0,0.0,1.28,0.11,0.06,0.32,0.87,0.0,0.0,167.3,0.81,3.0,8.0,3.04,167.0,0.0,1.0,Italy (Lega Nazionale Dilettanti D),1.0,87,0.0,0.1178169014084507,88000.0
15.0,89.66666666666667,186.0,79.0,31,6.85,0.0,0.11,0.0,0.49,0.0,0.13,0.2,0.86,0.0,0.13,139.8,0.79,1.0,10.0,2.41,165.0,0.0,3.0,Italy (Lega Nazionale Dilettanti C),0.87,89,0.0,0.1039405204460966,110000.0
16.0,83.5625,182.0,74.0,19,6.73,0.0,0.5,0.0,0.07,1.02,0.13,1.08,0.95,0.28,0.07,167.9,0.87,1.0,11.0,2.69,105.0,1.0,1.0,Croatia (Prva HNL),0.83,104,0.0,0.1255796559461481,825000.0
11.0,79.81818181818181,180.0,72.0,24,6.91,0.0,0.38,0.0,1.42,0.13,0.21,0.92,0.88,0.5,0.1,123.7,0.66,0.0,11.0,0.72,18.0,0.0,2.0,Portugal (Liga 3 Norte),0.55,100,0.0,0.1408883826879271,117500.0
11.0,92.72727272727272,192.0,90.0,26,6.85,0.0,0.0,0.0,0.44,0.0,0.09,0.18,0.91,0.0,0.09,118.0,0.85,1.0,15.0,2.56,130.0,0.0,0.0,Portugal (Liga 3 Sul),0.85,100,0.0,0.1156862745098039,44000.0
11.0,92.72727272727272,179.0,74.0,26,6.93,0.0,0.0,0.0,0.27,0.38,0.09,0.88,0.93,0.21,0.71,133.3,0.76,1.0,13.0,2.47,49.0,1.0,2.0,Portugal (Liga 3 Norte),0.7,100,0.0,0.1306862745098039,165000.0
13.0,83.76923076923077,194.0,89.0,27,6.94,2.0,0.17,0.0,1.1,0.08,0.08,0.17,0.88,0.0,0.17,111.9,0.86,1.0,15.0,2.56,136.0,1.0,2.0,Belgium (1B Pro League),1.0,93,1.818181818181818,0.1027548209366391,180000.0
13.0,107.0,175.0,70.0,23,7.07,0.0,0.35,0.0,1.73,0.08,0.06,0.26,0.87,0.0,0.13,94.6,0.79,0.0,19.0,0.58,11.0,0.0,0.0,Uruguay (Campeonato Uruguayo),0.93,117,0.0,0.0680086268871315,825000.0
12.0,87.16666666666667,195.0,102.0,29,7.15,0.0,0.0,0.0,0.43,0.0,0.09,0.09,0.83,1.0,0.09,117.6,0.91,0.0,10.0,2.07,128.0,1.0,0.0,Croatia (Druga HNL),0.55,84,0.0,0.1124282982791586,5000.0
11.0,91.54545454545456,188.0,72.0,24,7.32,1.0,0.57,0.0,0.66,0.3,0.36,1.34,0.9,0.2,0.54,136.4,0.78,1.0,33.0,1.07,21.0,1.0,1.0,Portugal (Liga 3 Sul),0.83,99,1.5151515151515151,0.1354518371400198,165000.0
15.0,90.0,186.0,80.0,27,7.52,2.0,0.18,0.0,2.34,0.11,0.07,0.27,0.94,0.33,0.0,155.2,0.75,4.0,12.0,2.8,176.0,6.0,0.0,Italy (Lega Nazionale Dilettanti F),0.92,93,0.8547008547008548,0.1149629629629629,150500.0
11.0,94.1818181818182,178.0,65.0,21,6.83,2.0,0.47,0.0,1.39,0.29,0.17,1.04,0.93,0.16,0.17,136.1,0.6,0.0,16.0,1.65,16.0,0.0,1.0,Argentina (Liga Profesional),0.78,104,1.4388489208633095,0.1313706563706563,770000.0
11.0,83.18181818181819,180.0,76.0,24,6.65,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.95,0.0,0.49,103.1,0.69,2.0,13.0,1.28,92.0,0.0,0.0,Italy (Serie B),0.8,109,0.0,0.1126775956284153,650000.0
13.0,89.07692307692308,168.0,64.0,28,6.6,0.0,0.0,0.0,0.1,0.0,0.08,0.54,0.95,0.16,0.0,151.9,0.53,0.0,39.0,1.17,21.0,0.0,0.0,Croatia (Prva HNL),0.66,91,0.0,0.131174438687392,24750.0
11.0,78.54545454545455,179.0,79.0,28,6.99,1.0,0.43,0.0,0.83,0.0,0.1,1.77,0.9,0.37,0.0,112.7,0.71,0.0,16.0,0.83,20.0,1.0,4.0,Portugal (Liga 3 Norte),0.79,94,1.2048192771084338,0.1304398148148148,99000.0
12.0,79.5,183.0,78.0,30,7.11,2.0,0.4,0.0,0.96,0.0,0.0,0.09,0.89,0.0,0.19,116.3,0.86,1.0,6.0,2.92,123.0,0.0,1.0,Portugal (Liga Portugal 2),0.57,94,2.083333333333333,0.1219077568134171,26000.0
15.0,90.0,198.0,95.0,28,6.87,0.0,0.17,0.0,1.93,0.0,0.0,0.07,0.91,0.0,0.0,151.4,0.9,0.0,22.0,2.8,160.0,0.0,0.0,Croatia (3. HNL Jug),0.7,98,0.0,0.1121481481481481,66000.0
16.0,80.4375,176.0,68.0,19,7.0,0.0,0.33,0.0,0.24,0.78,0.21,2.24,0.93,0.24,0.21,169.8,0.71,3.0,26.0,2.87,50.0,0.0,1.0,Croatia (Prva HNL),0.75,102,0.0,0.1319347319347319,660000.0
11.0,83.54545454545455,197.0,93.0,33,7.05,0.0,0.0,0.0,0.19,0.12,0.0,0.39,0.91,0.0,0.0,104.1,0.85,4.0,4.0,3.33,110.0,0.0,0.0,France (National 2 Groupe C),0.9,91,0.0,0.1132752992383025,24750.0
17.0,83.6470588235294,184.0,71.0,23,7.15,1.0,0.44,0.0,0.29,0.29,0.19,0.95,0.93,0.18,0.32,191.9,0.69,2.0,6.0,1.39,32.0,1.0,1.0,Croatia (Prva HNL),0.95,109,3.4482758620689657,0.1349507735583685,660000.0
